Date,Average Close,Unemployment Rate,Federal Funds Rate,Housing Starts,Personal Savings Rate,Average Hourly Earnings,Money Supply M1,Long-Term Interest Rates,Average Weekly Hours,Personal Consumption Expenditures,Personal Income
2012-01,1300.578015,8.3,0.08,723,7.4,19.59,2201.8,599.9,41.8,10896.8,13631.6
2012-02,1352.4875,8.2,0.14,753,7.9,19.68,2237.3,608.1,41.7,11018.5,13868.1
2012-03,1389.240001,8.2,0.16,740,7,19.74,2315,581,41.7,11016.8,13752.9
2012-04,1386.428986,7.8,0.16,915,7.8,19.79,2420.1,634.6,41.5,11137.4,14049.2
2012-05,1341.272716,8,0.14,888,4.9,19.94,2476.7,613.7,41.6,11252.4,13880.4
2012-06,1323.484294,7.6,0.15,835,5.1,20.04,2504.9,578.8,41.8,11281.1,13974.9
2012-07,1359.776199,7.3,0.09,880,5.2,20.14,2542.3,486.4,41.7,11372.6,14072
2012-08,1403.448258,7.2,0.09,925,4.7,20.25,2631.2,489.7,41.9,11498,14152.3
2012-09,1443.419472,6.6,0.07,888,5.2,20.39,2714.1,446.5,41.6,11578.8,14369.2
2012-10,1437.816662,6.2,0.09,1043,5.4,20.51,2774.2,485,41.9,11762.3,14624.5
2012-11,1394.512387,6.2,0.09,1085,5.5,20.61,2837.3,482.2,42,11904.4,14821.1
2012-12,1422.285492,5.7,0.09,1074,5.4,20.7,2880.4,442.4,42.1,12064.7,15022.7
2013-01,1480.39524,5.7,0.11,1085,6.3,20.8,2952.9,442.5,42,12066.7,15230.8
2013-02,1512.311581,5.4,0.12,1190,5.9,20.92,2999.1,440.6,41.8,12209.1,15373.5
2013-03,1550.828986,5.2,0.13,1146,5.6,21.03,3034.4,426,41.8,12364.9,15518.6
2013-04,1570.702265,5,0.12,1058,5.8,21.19,3026.1,417.8,41.8,12394.9,15608
2013-05,1639.842723,4.8,0.34,1092,6.1,21.31,3103.4,397.5,41.9,12478,15695.5
2013-06,1618.772516,5.1,0.37,1163,5.5,21.46,3197.7,449.5,41.8,12611.5,15758.9
2013-07,1668.675443,4.8,0.39,1239,5.1,21.58,3241.7,494.9,42,12756.7,15891.5
2013-08,1670.093639,4.9,0.4,1313,5.3,21.71,3338.5,466.6,42,12867,16059.4
2013-09,1687.173505,4.7,0.65,1190,5.3,21.81,3393.2,426,41.9,13063.7,16293.3
2013-10,1720.026532,4.4,0.9,1146,5.7,21.94,3450.4,458,42,13169.2,16476
2013-11,1783.541003,4.3,1.15,1206,6,22.08,3547.3,446.7,41.9,13263.3,16665.9
2013-12,1807.775234,4.2,1.15,1257,6,22.18,3607.8,464.4,42,13447.5,16930.8
2014-01,1822.35666,4,1.41,1299,5.7,22.38,3651.1,480.3,41.9,13703.3,17141.7
2014-02,1817.034739,4,1.69,1276,6,22.54,3656.6,486.9,42.3,13838.4,17328.7
2014-03,1863.523339,3.8,1.91,1208,6.5,22.7,3681.5,457.7,42.2,13974.8,17587.6
2014-04,1864.263335,3.8,2.19,1221,6.7,22.9,3726.1,438.5,42.1,14083.1,17749.8
2014-05,1889.767142,4,2.4,1226,8.2,23.14,3744.4,469.3,42,14088.4,18053.9
2014-06,1947.087612,3.7,2.42,1272,7.7,23.33,3779.3,471.1,41.6,14278.3,18262.1
2014-07,1973.099987,3.7,2.4,1240,6.8,23.55,3865,511.3,41.5,14471.8,18328.6
2014-08,1961.531907,3.6,1.83,1325,7.3,23.75,3931.6,545.4,41.4,14584,18549.5
2014-09,1993.22619,3.6,1.55,1578,7.2,23.91,3977.6,559.4,41.3,14815.7,18821.5
2014-10,1937.27435,14.8,0.05,931,32,25.14,4788.8,586.6,38.5,12228.3,20750.9
2014-11,2044.572105,10.2,0.09,1523,17.9,24.69,16774.5,647.1,40.7,14285.1,20191.5
2014-12,2054.266363,6.8,0.09,1543,12.8,24.85,17365.7,695.1,41.4,14702.5,19758.5
2015-01,2028.17851,6.4,0.09,1639,19.3,25.17,18063,700.9,41.6,15047.3,21760.9
2015-02,2082.195794,6.1,0.07,1492,12.3,25.51,18946.1,637.1,41.6,15854.1,21304.2
2015-03,2079.99044,5.4,0.1,1600,9.4,25.96,19494,658.6,41.5,16150.8,21156.5
2015-04,2094.862839,4.5,0.08,1587,6.6,26.46,20057.2,642.8,41.3,16613.8,21201.4
2015-05,2111.943518,4,0.08,1712,4.1,26.9,20500.2,659,41.1,16888.6,21294.8
2015-06,2099.283658,3.7,0.33,1828,3.1,27.27,20708.4,706.7,41.3,17310.5,21581.3
2015-07,2094.143627,3.5,1.68,1392,3.5,27.66,20540.8,644.1,41,17556.4,21910.5
2015-08,2039.866205,3.6,3.08,1440,3,28,20142,620.3,41,17915.1,22242.2
2015-09,1944.402384,3.4,4.33,1361,4.4,28.31,19554.1,674.3,40.9,18229.6,22525.3
2015-10,2024.812716,3.4,4.83,1368,5.2,28.68,18647.2,732.6,40.7,18363.8,22806.1
2015-11,2080.616504,3.5,5.12,1473,4.4,29.03,18381.8,701.9,40.7,18595.4,22986.4
2015-12,2054.079562,3.8,5.33,1365,3.8,29.29,18070.1,665.5,40.7,18826.8,23189.4
2016-01,1918.597888,8.3,0.1,704,7.3,19.59,2207.1,604,41.8,10987.2,13731.1
2016-02,1904.418494,8.2,0.13,695,7.6,19.64,2227.8,633.2,41.6,10993.9,13798.5
2016-03,2021.95409,8.2,0.16,708,7.9,19.67,2256.2,599.6,41.6,11006.8,13850.3
2016-04,2075.535232,8.2,0.16,757,7.9,19.71,2275.3,577,41.7,10989.8,13837.1
2016-05,2065.550479,8.1,0.13,754,6.7,19.74,2354.1,579,41.5,11056,13768.5
2016-06,2083.891369,7.8,0.14,847,7.2,19.79,2386.6,592.3,41.5,11105.3,13914.1
2016-07,2148.901978,7.7,0.16,833,8.7,19.85,2441.2,634.3,41.5,11178.4,14230.7
2016-08,2177.482167,7.9,0.16,976,10.9,19.91,2460.7,625.6,41.7,11181.2,14581.4
2016-09,2157.690964,7.7,0.15,962,4.7,19.99,2468.9,607.3,41.9,11290.5,13902
2016-10,2143.020938,7.5,0.14,1010,4.8,20,2476.3,590.6,41.9,11290.1,13932.2
2016-11,2164.985689,7.5,0.11,930,5.3,20.05,2523.5,539.2,41.7,11321.6,14052.5
2016-12,2246.629046,7.5,0.09,839,5.4,20.12,2521,513.5,41.8,11344.4,14083.9
2017-01,2275.115979,7.2,0.08,917,5.2,20.18,2551.3,469,41.9,11406.6,14117.3
2017-02,2329.910542,7.2,0.08,850,5.3,20.23,2585.5,490.7,41.8,11445.9,14181.7
2017-03,2366.82217,6.9,0.08,1100,4.5,20.31,2638.8,478.1,42,11562.5,14209.6
2017-04,2359.309455,6.7,0.09,1002,4.5,20.35,2674.2,462.8,41.9,11593.2,14266.5
2017-05,2395.345881,6.7,0.07,944,5.3,20.51,2730.2,455,41.6,11636.9,14456.4
2017-06,2433.985451,6.7,0.08,970,5.2,20.5,2749.3,475.5,42,11722.3,14555
2017-07,2454.102502,6.3,0.09,1007,5.6,20.54,2785.3,472.6,42.1,11807.3,14689.5
2017-08,2456.22307,6.1,0.1,911,5.6,20.59,2817.2,455,42.1,11861.7,14760.1
2017-09,2492.84104,6.1,0.09,984,5.3,20.66,2787,474.2,42,11983.7,14894.2
2017-10,2556.99727,5.9,0.09,1023,5.5,20.67,2861.2,464.1,42.1,11991.4,14951.2
2017-11,2593.605736,5.8,0.09,1001,5.6,20.77,2888.2,422.1,42.2,12083.9,15094
2017-12,2664.340527,5.6,0.12,1073,6,20.71,2955.8,437.6,42.1,12096.1,15170.9
2018-01,2789.803816,5.5,0.11,886,6.4,20.84,3009.9,461.4,42,12116.6,15313.3
2018-02,2705.155248,5.4,0.11,960,5.9,20.91,2996.8,439.1,41.8,12176.1,15314.2
2018-03,2702.773821,5.6,0.12,1079,5.8,20.98,2978.6,435.7,41.8,12275.4,15442.7
2018-04,2653.625209,5.3,0.13,1205,5.7,21,3013.4,433.7,41.8,12307.9,15479
2018-05,2701.493619,5.1,0.14,1130,5.6,21.1,3017.6,397.7,41.8,12396.2,15550.5
2018-06,2754.352888,5,0.14,1224,5.8,21.09,3044.8,412.8,41.8,12386.4,15570.5
2018-07,2793.643357,5.1,0.12,1172,5.6,21.21,3083.4,406.8,41.8,12423.2,15615.4
2018-08,2857.820429,5,0.24,1146,5.8,21.23,3104.1,388.4,41.8,12452,15668.4
2018-09,2901.500514,4.9,0.38,1225,5.6,21.33,3131.6,414.9,41.8,12554.5,15695.9
2018-10,2785.46478,5,0.36,1111,5.9,21.39,3152.8,454.2,41.8,12537,15731.6
2018-11,2723.231422,4.8,0.37,1148,5.3,21.47,3236.5,469.9,41.9,12652.7,15777.2
2018-12,2567.307386,4.9,0.38,1203,4.9,21.52,3242.4,445.5,41.8,12731.2,15821.4
2019-01,2607.389997,4.9,0.4,1171,5.1,21.6,3312.7,494.9,41.8,12788.1,15931.3
2019-02,2754.864206,5,0.4,1068,5.1,21.63,3326.7,487.9,41.9,12846.6,15999.1
2019-03,2803.983794,4.7,0.41,1140,5.4,21.71,3354.4,472.1,41.9,12893,16107.6
2019-04,2903.799979,4.7,0.54,1252,5,21.76,3345.1,427,41.9,13005.9,16182.5
2019-05,2854.70591,4.6,0.66,1271,5.6,21.84,3403.1,441.7,41.9,13088.4,16363.5
2019-06,2890.165979,4.4,0.79,1190,5.6,21.88,3451.3,454,41.8,13139.9,16415.1
2019-07,2996.113636,4.4,0.91,1157,6.3,21.96,3516.2,453.3,41.9,13171.9,16573.2
2019-08,2897.450451,4.3,1.04,1249,6,22.02,3525.3,467.4,42,13225.2,16604
2019-09,2982.156006,4.4,1.16,1159,6.1,22.11,3586.5,462.8,42,13294.6,16733.7
2019-10,2977.675197,4.3,1.15,1181,5.9,22.18,3570.5,488.8,41.9,13417.3,16841.9
2019-11,3104.904492,4.2,1.16,1273,5.6,22.22,3629.4,465.1,42.1,13540.6,16997.5
2019-12,3176.749512,4.1,1.3,1177,5,22.3,3613.3,461.1,41.8,13666.1,17058.2
2020-01,3278.202858,4.1,1.42,1277,5.8,22.42,3614.4,483.8,42.3,13738.7,17204.1
2020-02,3277.314183,4,1.51,1318,5.9,22.5,3664.5,483.6,42.2,13793.2,17268.2
2020-03,2652.393632,3.8,1.7,1357,6,22.59,3654,478.5,42.1,13905,17404.4
2020-04,2761.975226,4,1.82,1192,6.3,22.66,3655.6,473.6,42.2,13930.4,17488.4
2020-05,2919.608484,3.8,1.91,1288,6.6,22.78,3695,445.5,42.1,14014,17664
2020-06,3104.660933,3.7,1.95,1250,6.8,22.85,3702.2,437.9,42,14017.8,17693.5
2020-07,3207.619096,3.8,2.2,1181,6.5,23,3704.2,448,41.9,14162.9,17795.7
2020-08,3391.710019,3.9,2.27,1095,8.4,23.11,3764.3,452.5,42.1,14051.6,18012.4
2020-09,3365.516671,3.8,2.4,1121,8.5,23.21,3751.2,479.8,41.7,14115.5,18151.4
2020-10,3418.699996,3.8,2.41,1191,7.9,23.31,3735,470.7,41.7,14240.1,18229.5
2020-11,3548.99248,3.6,2.39,1293,7.3,23.38,3788,467.4,41.5,14340.8,18277
2020-12,3695.310014,3.6,2.38,1243,7.1,23.47,3832.1,486,41.7,14391.2,18310.5
2021-01,3793.748432,3.6,2.13,1375,7,23.62,3862,542.4,41.5,14525.7,18423.6
2021-02,3883.432116,3.5,2.04,1311,7.2,23.68,3901.2,559.3,41.5,14555.6,18474.4
2021-03,3910.50828,3.6,1.55,1353,7.1,23.84,3952.8,543.3,41.4,14678.6,18630.7
2021-04,4141.1762,3.6,1.55,1548,6.4,23.83,4008.4,536.7,41.4,14741.3,18583.8
2021-05,4167.849536,3.5,1.58,1537,7.7,24.01,3979.6,571.5,41.5,14810.7,18925.6
2021-06,4238.489546,4.4,0.65,1252,12.5,24.15,4260.9,598.4,41.2,13793,18577.4
2021-07,4363.712798,13.2,0.05,1053,22.7,24.99,16245.5,621.3,39.4,13251.4,19877.2
2021-08,4453.965931,11,0.08,1254,18.4,24.79,16574.1,625.2,39.9,14027.1,19920.9
2021-09,4445.543318,8.4,0.1,1401,14,24.82,16898.8,735.6,41,14428.4,19594.2
2021-10,4460.707078,7.8,0.09,1463,13.2,24.81,17170.5,710.7,41.2,14655,19744.9
2021-11,4667.386649,6.7,0.09,1553,12.1,24.93,17612.9,699.4,41.3,14675.8,19610.4
2021-12,4674.772772,6.7,0.09,1635,12,25.16,17803,662.4,41.4,14801.8,19775.2
2022-01,4573.815454,6.2,0.08,1407,12.8,25.25,18322.3,666,41.4,14948.2,20254
2022-02,4435.980494,6.1,0.07,1668,26.1,25.34,18595.7,626.4,41.6,15657.6,24471.8
2022-03,4391.265264,5.8,0.06,1607,9.9,25.68,19266.3,659.9,41.6,15890,20899.7
2022-04,4391.295996,5.9,0.08,1638,8.7,25.81,19327.2,690,41.4,16108.5,20934.3
2022-05,4040.360003,5.1,0.09,1595,8.7,26.12,19721,658.4,41.4,16305.6,21207.3
2022-06,3898.946684,4.7,0.08,1563,7.2,26.3,19863.2,663,41.4,16398.9,21051.2
2022-07,3911.729492,4.1,0.08,1704,6.2,26.57,20246.8,653.2,41.5,16741.6,21297.7
2022-08,4158.563084,3.9,0.08,1757,6.1,26.76,20436.2,650.8,41.4,16799.2,21352.9
2022-09,3850.520496,3.8,0.08,1742,4.1,26.97,20577.9,656.9,41.5,16999.7,21426.2
2022-10,3726.050956,3.6,0.2,1678,3.4,27.11,20691,703.6,41.5,17203.6,21510.5
2022-11,3917.488595,3.6,0.77,1540,3.1,27.39,20676.3,685.3,41.2,17384.8,21657.1
2022-12,3912.380952,3.6,1.21,1542,2.7,27.53,20606.7,673.6,41,17550,21740.7
2023-01,3960.656531,3.6,2.33,1520,3.2,27.75,20456.6,647.7,40.9,17692.2,22024.3
2023-02,4079.684725,3.5,2.56,1470,3,27.86,20304.2,623.5,41,17804,22121.5
2023-03,3968.559146,3.6,3.78,1420,3.3,28.13,19972.8,601.5,40.8,17892.5,22267.7
2023-04,4121.467362,3.5,4.1,1340,3.4,28.23,19765.1,651.3,40.4,17943.6,22312.3
2023-05,4146.173196,3.6,4.57,1404,4.7,28.42,19362.9,698.9,40.7,18296.5,22648.4
2023-06,4345.372838,3.5,4.65,1342,5.2,28.58,18968.9,669,40.6,18282.6,22757.9
2023-07,4508.075488,3.7,5.06,1583,5.3,28.79,18596.4,735.3,40.8,18407.8,22876.6
2023-08,4457.358674,3.6,5.08,1415,4.8,28.9,18485.8,716.4,40.8,18485.4,22921.4
2023-09,4409.094995,3.8,5.33,1305,4.5,29.09,18271.7,711.3,40.8,18651.6,23094.5
2023-10,4269.400945,3.8,5.33,1363,3.9,29.18,18151.7,703.3,40.7,18791.5,23176.2
2023-11,4460.063314,3.7,5.33,1510,3.7,29.42,18009,727.2,40.5,18903,23241.5
2023-12,4685.051489,3.7,5.33,1568,3.6,29.51,18012.3,741,40.3,19013.7,23311.6
